#{"t_start": 1651740001.0846674, "env_id": null}
r,l,t
38872.0,19968,310.688393
18872.0,10251,583.887233
24519.0,24529,1020.005479
12611,12611,1401.810664
7805,7805,1545.103244
13766,13766,1770.742818
17791.5,17794,2098.810986
11945,11945,2264.991589
4573,4573,2357.608905
4251,4251,2460.137881
5824,5824,2570.147643
3630,3630,2676.741317
18006,18006,3007.555906
29231,29231,3711.733721
17600,17600,4133.119017
2491,2491,4147.079527
22104,22104,4577.19592
16663,16663,4893.635523
12040,12040,5152.62529
20395,20395,5542.711974
9324,9324,5683.893971
22205,22205,6139.220938
11614,11614,6367.062814
4307,4307,6454.338013
18269,18269,6854.287131
27990,27990,7352.408839
7640,7640,7473.906214
12170,12170,7718.224334
4413,4413,7800.301287
26284,26284,8357.499027
17750,17750,8731.872427
3155,3155,8812.357648
599,599,8815.701258
25957,25957,9377.654464
5722,5722,9476.605699
27399,27399,10078.173305
22125,22125,10502.022509
19843,19843,10873.102183
11027,11027,11088.661585
935,935,11093.640854
10462,10462,11327.729433
6109,6109,11505.207851
16483,16483,11815.934384
6120,6120,11919.473457
26375,26375,12409.00902
6516,6516,12565.055401
23628,23628,12967.901185
9681,9681,13180.39317
15946,15946,13559.48916
18911,18911,13860.885337
26032,26032,14359.25695
20891,20891,14678.389379
12184,12184,14874.267766
837,837,14879.347784
14283,14283,15147.107586
24280,24280,15601.088651
23183,23183,16102.244781
5412,5412,16189.159908
24735,24735,16698.497944
25416,25416,17204.857833
5541,5541,17319.080516
10684,10684,17509.001906
24832,24832,17986.355237
1162,1162,17993.057755
21939,21939,18490.446461
16023,16023,18741.776523
18801,18801,19117.600208
4437,4437,19216.946762
13272,13272,19391.975682
