Date_time,Open,High,Low,Close,Volume,Moving_avg_close,Google_adj_hits_daily,Twitter_tweets,Open_S,High_S,Low_S,Close_S,Volume_S,Volatility,pct_returns,returns_flag
2020-01-01 00:00:00,7195.24,7196.25,7175.46,7177.02,511.814901,7266.449107142856,8.1,13500.0,3229.5,3236.25,3229.25,3236.0,94927.0,0.0023706109227697,-0.0025308433503862,0
2020-01-01 01:00:00,7176.47,7230.0,7175.71,7216.27,883.052603,7266.286011904762,8.1,13500.0,3229.5,3236.25,3229.25,3236.0,94927.0,0.0026182572913597,0.0054688436147594,1
2020-01-01 02:00:00,7215.52,7244.87,7211.41,7242.85,655.156809,7266.339285714285,8.1,13500.0,3229.5,3236.25,3229.25,3236.0,94927.0,0.0026920245878909,0.0036833433338829,1
2020-01-01 03:00:00,7242.66,7245.0,7220.0,7225.01,783.724867,7266.312083333333,8.1,13500.0,3229.5,3236.25,3229.25,3236.0,94927.0,0.0027228985436411,-0.0024631187999198,0
2020-01-01 04:00:00,7225.0,7230.0,7215.03,7217.27,467.812578,7266.136488095238,8.1,13500.0,3229.5,3236.25,3229.25,3236.0,94927.0,0.0027271626890828,-0.0010712787940777,0
2020-01-01 05:00:00,7217.26,7229.76,7216.65,7224.21,344.670596,7266.086607142856,8.1,13500.0,3229.5,3236.25,3229.25,3236.0,94927.0,0.0026412987148881,0.000961582426596,1
2020-01-01 06:00:00,7224.24,7236.27,7221.51,7225.62,621.467023,7266.049523809524,8.1,13500.0,3229.5,3236.25,3229.25,3236.0,94927.0,0.0025921304445878,0.000195177050501,1
2020-01-01 07:00:00,7225.88,7232.94,7199.11,7209.83,627.344854,7265.797380952381,8.1,13500.0,3229.5,3236.25,3229.25,3236.0,94927.0,0.0026190806606078,-0.0021852796023039,0
2020-01-01 08:00:00,7209.83,7210.0,7180.0,7200.64,915.545974,7265.480952380953,8.1,13500.0,3229.5,3236.25,3229.25,3236.0,94927.0,0.0025665019534582,-0.0012746486394269,0
2020-01-01 09:00:00,7200.29,7210.51,7188.0,7188.77,636.386102,7265.217857142858,8.1,13500.0,3229.5,3236.25,3229.25,3236.0,94927.0,0.0025839759109335,-0.0016484645809261,0
2020-01-01 10:00:00,7189.07,7210.0,7185.2,7202.0,537.762804,7265.065059523809,8.1,13500.0,3229.5,3236.25,3229.25,3236.0,94927.0,0.0025708129865506,0.001840370466714,1
2020-01-01 11:00:00,7202.01,7237.73,7188.61,7197.2,1076.959481,7264.947023809523,8.1,13500.0,3229.5,3236.25,3229.25,3236.0,94927.0,0.002572242625978,-0.0006664815329076,0
