#{"t_start": 1652100844.2983105, "env_id": null}
r,l,t
-9.591146,19968,95.604493
0.066683,10244,139.562093
-0.118567,18336,224.976856
0.101484,14281,496.423961
-0.012588,15097,562.075433
-0.017482,11986,614.319856
0.012193,9418,654.951797
-0.004392,3143,778.666732
0.002782,21580,877.41864
-0.003293,8200,911.563906
0.000891,6047,937.195466
0,6128,962.239777
-0.005324,28847,1257.396364
0,5660,1281.203495
0,604,1283.687535
-0.001611,19152,1369.488869
0,13577,1469.939822
0,3803,1485.352194
0,362,1486.670289
0,4629,1506.372442
0,17350,1586.424376
-0.009946,18176,1809.758563
0,8558,1845.12488
0,3986,1861.215071
0,13992,1923.608508
0,13261,1982.773541
0,25757,2241.267554
-0.004492,11090,2288.134859
0,2077,2296.188196
0,2233,2305.375655
0,28947,2545.955947
0,5977,2570.36835
0,7875,2603.862482
0,3993,2619.348549
0,2454,2628.944512
0,19793,2817.549006
0,17430,2896.308188
-0.004758,24869,3012.899748
0,20358,3255.786248
0,2824,3267.522425
0,17479,3347.077949
0,25954,3621.84677
0,6153,3647.570854
0,3808,3663.249363
0,24262,3780.184635
0,21843,3937.9842
0,5428,3959.503762
0,10066,4004.056564
0,3935,4019.303617
0,4292,4036.158143
0,8100,4102.390034
0,16043,4174.370746
0,26184,4303.774277
0,11968,4522.173088
0,4594,4540.911313
0,2512,4551.176319
0,19758,4639.49747
0,10764,4685.11661
0,25806,4855.766195
0,22757,4959.968606
0,27247,5253.224679
0,25183,5371.292004
0,1130,5375.744658
0,23551,5617.356882
0,19299,5707.968262
0,21220,5936.678061
0,19106,6025.26054
0,6939,6053.844037
0,28733,6320.559882
0,14488,6384.842681
0,10835,6432.183293
0,18087,6694.395398
0,22086,6799.627786
