trade_row_loc,original_price,trade_price,avg_buy_price,trade_slippage,trade_amount,trade_total,trade_fee,trade_profit,trade_type,trade_min_trade_penalty,trade_buy_penalty,trade_hold_penalty,trend_reward,profit_reward,overall_reward ,net_worth,benchmark,total_fees,Balance,crypto_holding,crypto_worth,total_volume_traded,highest_net_worth
1885,9981.38,9981.38,10208.665824059526,0.0018159895799731735,0,0,0,0,hold,False,0,0,-0.01941544413454756,0,-40.3252684264107,8799.259069618862,2806.3935869110555,241.25275458670689,0.0,0.8815673854335636,8799.259069618862,241127.18605152323,12104.942435557277
1886,9962.28,9962.28,10208.665824059526,0.0013901028360031858,0,0,0,0,hold,False,0,0,-0.0019135630544070237,0,-40.32718198946511,8782.421132557083,2781.8877452829456,241.25275458670689,0.0,0.8815673854335636,8782.421132557083,241127.18605152323,12104.942435557277
1887,10014.03,10014.03,10208.665824059526,0.0016501422468036147,0,0,0,0,hold,False,0,0,0.005194594008600336,0,-40.32198739545651,8828.04224475327,2848.2844627831964,241.25275458670689,0.0,0.8815673854335636,8828.04224475327,241127.18605152323,12104.942435557277
1888,9986.77,9974.320730647203,0,0.001246576155533579,0.8815673854335636,8784.242812144455,8.793035847992448,-215.3840271366771,sell,False,0,0,-1.0,0,-41.32198739545651,8784.242812144455,2813.3091097579436,250.04579043469934,8784.242812144455,0.0,0.0,249920.22189951566,12104.942435557277
1889,10132.91,10132.91,0,0.0014893460308296317,0,0,0,0,hold,False,0,0,-0.014633359935194204,0,-41.336620755391706,8784.242812144455,3000.810873921935,250.04579043469934,8784.242812144455,0.0,0.0,249920.22189951566,12104.942435557277
1890,10111.34,10111.34,0,0.0012041434987831352,0,0,0,0,hold,False,0,0,0.0021287073506031052,0,-41.334492048041106,8784.242812144455,2973.1359522508155,250.04579043469934,8784.242812144455,0.0,0.0,249920.22189951566,12104.942435557277
1891,10085.29,10098.910630854094,10109.019650504599,0.0013505442931331098,0.8689510076979605,8784.242812144455,8.784242812144456,0,buy,False,0,0,0,0,-41.334492048041106,8763.622908426165,2939.713063538131,258.8300332468438,0.0,0.8689510076979605,8763.622908426165,258695.68046884798,12104.942435557277
1892,10106.28,10106.28,10109.019650504599,0.001769878972025222,0,0,0,0,hold,False,0,0,0.0020812490270483187,0,-41.332410799014056,8781.862190077745,2966.643828761904,258.8300332468438,0.0,0.8689510076979605,8781.862190077745,258695.68046884798,12104.942435557277
1893,10151.2,10151.2,10109.019650504599,0.0013255852872624822,0,0,0,0,hold,False,0,0,0.004444761079249674,0,-41.32796603793481,8820.895469343537,3024.2774625804777,258.8300332468438,0.0,0.8689510076979605,8820.895469343537,258695.68046884798,12104.942435557277
1894,10052.48,10052.48,10109.019650504599,0.0018841422703853522,0,0,0,0,hold,False,0,0,-0.009724958625581254,0,-41.33769099656039,8735.112625863594,2897.616903128792,258.8300332468438,0.0,0.8689510076979605,8735.112625863594,258695.68046884798,12104.942435557277
1895,10072.45,10072.45,10109.019650504599,0.0012325189462653785,0,0,0,0,hold,False,0,0,0.0019865744572483968,0,-41.33570442210314,8752.465577487323,2923.2389794279243,258.8300332468438,0.0,0.8689510076979605,8752.465577487323,258695.68046884798,12104.942435557277
1896,10142.57,10142.57,10109.019650504599,0.001848528800628498,0,0,0,0,hold,False,0,0,0.006961563472640677,0,-41.3287428586305,8813.396422147103,3013.204927855315,258.8300332468438,0.0,0.8689510076979605,8813.396422147103,258695.68046884798,12104.942435557277
1897,10074.2,10074.2,10109.019650504599,0.0019810814909311573,0,0,0,0,hold,False,0,0,-0.006740895059141802,0,-41.33548375368964,8753.986241750794,2925.4842790535367,258.8300332468438,0.0,0.8689510076979605,8753.986241750794,258695.68046884798,12104.942435557277
1898,9816.42,9816.42,10109.019650504599,0.0017097171430929935,0,0,0,0,hold,False,0,0,-0.025588136030652485,0,-41.36107188972029,8529.988050986414,2594.745229059052,258.8300332468438,0.0,0.8689510076979605,8529.988050986414,258695.68046884798,12104.942435557277
1899,9924.76,9924.76,10109.019650504599,0.0015667195532231275,0,0,0,0,hold,False,0,0,0.011036610087995271,0,-41.350035279632294,8624.13020316041,2733.748521309817,258.8300332468438,0.0,0.8689510076979605,8624.13020316041,258695.68046884798,12104.942435557277
1900,9872.48,9872.48,10109.019650504599,0.0010208968391998802,0,0,0,0,hold,False,0,0,-0.005267633675776437,0,-41.35530291330807,8578.701444477962,2666.671798780095,258.8300332468438,0.0,0.8689510076979605,8578.701444477962,258695.68046884798,12104.942435557277
1901,9974.36,9974.36,10109.019650504599,0.0015310113796140157,0,0,0,0,hold,False,0,0,0.010319595481581187,0,-41.34498331782649,8667.23017314223,2797.386727841458,258.8300332468438,0.0,0.8689510076979605,8667.23017314223,258695.68046884798,12104.942435557277
1902,9972.53,9972.53,10109.019650504599,0.0015236075614100016,0,0,0,0,hold,False,0,0,-0.0001834704181522689,0,-41.34516678824464,8665.639992798142,2795.0387859472467,258.8300332468438,0.0,0.8689510076979605,8665.639992798142,258695.68046884798,12104.942435557277
1903,9991.79,9991.79,10109.019650504599,0.0011158294094151585,0,0,0,0,hold,False,0,0,0.0019313052956473284,0,-41.34323548294899,8682.375989206406,2819.7499121125584,258.8300332468438,0.0,0.8689510076979605,8682.375989206406,258695.68046884798,12104.942435557277
1904,9973.83,9973.83,10109.019650504599,0.0018317720252886394,0,0,0,0,hold,False,0,0,-0.0017974757275724226,0,-41.34503295867656,8666.76962910815,2796.7067228119868,258.8300332468438,0.0,0.8689510076979605,8666.76962910815,258695.68046884798,12104.942435557277
1905,9922.23,9922.23,10109.019650504599,0.0012095951355742332,0,0,0,0,hold,False,0,0,-0.00517353915196073,0,-41.35020649782852,8621.931757110935,2730.5024595653595,258.8300332468438,0.0,0.8689510076979605,8621.931757110935,258695.68046884798,12104.942435557277
1906,9986.81,9986.81,10109.019650504599,0.001640416316195406,0,0,0,0,hold,False,0,0,0.006508617518440763,0,-41.34369788031008,8678.048613188068,2813.360430892242,258.8300332468438,0.0,0.8689510076979605,8678.048613188068,258695.68046884798,12104.942435557277
1907,10021.9,10021.9,10109.019650504599,0.001092669967490105,0,0,0,0,hold,False,0,0,0.0035136344838843335,0,-41.340184245826194,8708.54010404819,2858.3818959566634,258.8300332468438,0.0,0.8689510076979605,8708.54010404819,258695.68046884798,12104.942435557277
1908,9966.53,9966.53,10109.019650504599,0.001711899008774759,0,0,0,0,hold,False,0,0,-0.005524900467974969,0,-41.34570914629417,8660.426286751956,2787.34061580229,258.8300332468438,0.0,0.8689510076979605,8660.426286751956,258695.68046884798,12104.942435557277
1909,10043.08,10043.08,10109.019650504599,0.0016727699224831723,0,0,0,0,hold,False,0,0,0.007680707327424843,0,-41.338028438966745,8726.944486391234,2885.5564365683604,258.8300332468438,0.0,0.8689510076979605,8726.944486391234,258695.68046884798,12104.942435557277
1910,10117.78,10117.78,10109.019650504599,0.0018515584650328817,0,0,0,0,hold,False,0,0,0.00743795728003749,0,-41.330590481686706,8791.85512666627,2981.39865487307,258.8300332468438,0.0,0.8689510076979605,8791.85512666627,258695.68046884798,12104.942435557277
