#{"t_start": 1651928938.5047355, "env_id": null}
r,l,t
-3224.755019,19968,83.604274
-119.496616,19167,165.672346
-9.627887,21803,313.645903
-1.122477,17549,384.926278
0.820779,15655,444.479912
0.001903,502,447.076963
-5.804785,23234,615.321763
-0.134592,4959,633.264746
-1.071835,4462,650.734995
-0.669577,19302,732.185027
0.902752,22506,900.232114
0.871854,27771,1037.695252
-2.437281,27023,1236.871239
-1.761948,22562,1339.792858
1.05908,18518,1461.659932
-0.64124,6854,1486.032709
0.23805,21174,1581.447913
0.216767,3146,1593.988355
-0.570652,14141,1709.18609
0.491093,1947,1716.948319
-0.600224,15071,1774.744663
-0.902036,29241,1990.647282
0.409631,13171,2044.504166
-0.187065,16367,2112.364579
-0.10257,5721,2134.113382
0.249608,18464,2244.195701
-0.727926,7099,2269.580773
1.528796,27487,2406.573965
0.152111,27575,2593.122782
-6.296318,20788,2679.052841
