trade_row_loc,trade_price,trade_amount,trade_total,trade_fee,trade_min_trade_penalty,trade_buy_penalty,trade_hold_penalty,trade_trend_reward,trade_reward ,overall_reward ,trade_profit,trade_type,net_worth,benchmark,Balance,crypto_holding,crypto_worth,total_fees,total_volume_traded,highest_net_worth
377,10889.54638396518,0.0,0.0,0.0,True,0,10000,52.74361603482066,-10001.0,0.0,0.0,sell,10000.0,1868.845215850708,10000.0,0.0,0.0,0.0,0.0,10000
378,10852.86995944767,0.0,0.0,0.0,True,0,10000,53.40004055233112,-10001.0,0.0,0.0,sell,10000.0,1823.9871846633832,10000.0,0.0,0.0,0.0,0.0,10000
379,10885.596264953996,0.0,0.0,0.0,True,0,10000,-20.546264953996797,-10001.0,0.0,0.0,sell,10000.0,1859.040003308306,10000.0,0.0,0.0,0.0,0.0,10000
380,10922.662551855872,0,0,0,True,0,10000,0,-10001.0,0.0,0,buy,10000.0,1863.7303990971795,10000.0,0.0,0.0,0.0,0.0,10000
381,10965.813975211528,0.0,0.0,0.0,True,0,10000,-64.24397521152787,-10001.0,0.0,0.0,sell,10000.0,1947.1998554792208,10000.0,0.0,0.0,0.0,0.0,10000
382,10932.253814317111,0.0,0.0,0.0,True,0,10000,46.016185682889045,-10001.0,0.0,0.0,sell,10000.0,1911.1567212501031,10000.0,0.0,0.0,0.0,0.0,10000
383,10940.06955704396,0.0,0.0,0.0,True,0,10000,5.0804429560394055,-10001.0,0.0,0.0,sell,10000.0,1918.7092379031856,10000.0,0.0,0.0,0.0,0.0,10000
384,11049.387365565048,0.0,0.0,0.0,True,0,10000,-97.29736556504758,-10001.0,0.0,0.0,sell,10000.0,2045.9375839999811,10000.0,0.0,0.0,0.0,0.0,10000
385,10997.03957191505,0.0,0.0,0.0,True,0,10000,71.96042808495076,-10001.0,0.0,0.0,sell,10000.0,1987.2913127558095,10000.0,0.0,0.0,0.0,0.0,10000
386,11115.510129430812,0.0,0.0,0.0,True,0,10000,-100.40012943081092,-10001.0,0.0,0.0,sell,10000.0,2109.6224938758223,10000.0,0.0,0.0,0.0,0.0,10000
