#{"t_start": 1651740109.97011, "env_id": null}
r,l,t
29680.0,19968,265.242967
19489,10251,449.258063
47747,24529,722.428274
23841,12611,980.670121
15436,7805,1078.98059
27269,13766,1231.746665
35219,17794,1445.740557
19354,11945,1559.941609
4682,4573,1622.973792
7630,4251,1693.412151
10220,5824,1767.817188
7203,3630,1840.540978
32218,18006,2059.090873
47373,29231,2504.806742
25970,17600,2784.098972
2491,2491,2794.090035
37823,22104,3071.013783
25398,16663,3286.009042
12040,12040,3460.013654
37272,20395,3717.49791
17553,9324,3821.246087
43904,22205,4112.730724
22576,11614,4258.739603
7582,4307,4313.244172
36220,18269,4577.820131
55511.0,27990,4876.314698
15244,7640,4957.467512
24325,12170,5118.062533
8728,4413,5172.776971
52543.5,26284,5519.536385
35498,17750,5750.647895
6304.5,3155,5802.877731
1189.0,599,5805.429359
51910,25957,6158.964427
11433,5722,6223.935566
54796,27399,6599.501055
44246,22125,6866.819482
39680.5,19843,7104.40032
22052,11027,7249.835388
1868,935,7253.620522
20905,10462,7410.386181
12216,6109,7532.683757
32964,16483,7739.064793
12237,6120,7811.506536
52748,26375,8108.264899
13030,6516,8209.527743
47252,23628,8462.540783
19360,9681,8605.702686
31889,15946,8856.173135
37753,18911,9053.711365
52060,26032,9366.131922
41769,20891,9577.090529
24365,12184,9715.118775
1672,837,9718.587135
28564,14283,9903.481329
48558,24280,10190.967617
46364.5,23183,10514.061849
10822,5412,10576.097933
49467.5,24735,10896.901967
50830,25416,11217.2268
11080,5541,11293.817988
21366,10684,11424.422761
49662,24832,11729.029377
2321,1162,11733.56416
43872,21939,12061.229573
32044,16023,12233.223081
37600,18801,12480.445217
8868,4437,12547.480234
26542,13272,12667.893543
