#{"t_start": 1651826552.5230796, "env_id": null}
r,l,t
-60.756508,19968,294.575766
-0.781719,10251,545.713351
0.141669,24529,936.649436
-1.53877,12611,1278.496439
-1.416145,7805,1412.380189
-0.423337,13766,1617.82066
-2.122975,17794,1911.642458
-0.454776,11945,2060.570387
-1.52826,4573,2143.673308
-0.522042,4251,2236.450236
0.577645,5824,2336.300086
-0.45112,3630,2433.609548
-1.54511,18006,2737.644549
-3.261761,29231,3384.854632
-0.289191,17600,3767.371333
0.177427,2491,3781.004355
-1.969861,22104,4175.825135
0.023518,16663,4471.220184
-0.717487,12040,4702.429936
-1.735491,20395,5064.709519
-0.123826,9324,5194.28741
-1.74123,22205,5616.61709
-0.833925,11614,5820.200922
0.565763,4307,5897.369583
-1.552212,18269,6266.250595
-2.586947,27990,6715.550257
-0.832685,7640,6824.196612
-1.137195,12170,7043.166112
0.343573,4413,7117.718279
-2.04409,26284,7621.149822
-0.1911,17750,7951.30649
-0.810394,3155,8023.368854
-0.394703,599,8026.521117
-2.191073,25957,8532.766778
-0.220723,5722,8621.050417
-2.612049,27399,9176.699602
-0.488095,22125,9571.014104
-0.199202,19843,9923.891846
-0.619363,11027,10128.529681
-0.797019,935,10134.07474
-0.803777,10462,10355.422013
0.429848,6109,10527.041508
-0.514761,16483,10825.677598
-0.13827,6120,10923.3313
1.857857,26375,11363.155473
-0.166729,6516,11503.360538
2.430044,23628,11875.158295
-0.933031,9681,12077.570345
-1.495691,15946,12432.910661
-2.735542,18911,12718.455181
-0.55242,26032,13182.783055
1.274665,20891,13475.018476
-1.398523,12184,13652.451668
0.205003,837,13656.578867
0.764734,14283,13900.980329
-0.72176,24280,14320.472473
-1.322284,23183,14790.562864
-1.241252,5412,14869.13997
-1.233721,24735,15333.612072
-1.199802,25416,15801.358053
-0.065202,5541,15904.084522
-1.335375,10684,16078.057457
-1.025376,24832,16522.816761
-0.026836,1162,16528.678429
-2.102602,21939,16992.886842
-1.333731,16023,17225.901897
-0.794463,18801,17572.478504
-0.781189,4437,17662.677962
-0.362308,13272,17822.096817
