trade_row_loc,original_price,trade_price,avg_buy_price,trade_slippage,trade_amount,trade_total,trade_fee,trade_profit,trade_type,trade_min_trade_penalty,trade_buy_penalty,trade_hold_penalty,trend_reward,profit_reward,overall_reward ,net_worth,benchmark,total_fees,Balance,crypto_holding,crypto_worth,total_volume_traded,highest_net_worth
50,9369.0,9383.15945632998,9392.55200833832,0.0015113092464490076,1.064673370040689,10000.0,10.0,0,buy,False,0,0,0,0,0,9974.924803911215,0.0,10.0,0.0,1.064673370040689,9974.924803911215,9990.0,10000
51,9365.0,9365.0,9392.55200833832,0.0017125540112992374,0,0,0,0,hold,False,0,0,-0.00042693990820803003,0,-0.00042693990820803003,9970.666110431051,-4.269399082078962,10.0,0.0,1.064673370040689,9970.666110431051,9990.0,10000
52,9309.0,9309.0,9392.55200833832,0.0019440134088277818,0,0,0,0,hold,False,0,0,-0.005979711692471874,0,-0.006406651600679904,9911.044401708774,-64.04098623118807,10.0,0.0,1.064673370040689,9911.044401708774,9990.0,10000
53,9290.07,9290.07,9392.55200833832,0.001872020630184682,0,0,0,0,hold,False,0,0,-0.0020335159523043383,0,-0.008440167552984242,9890.890134813902,-84.24591738712661,10.0,0.0,1.064673370040689,9890.890134813902,9990.0,10000
54,9225.0,9225.0,9392.55200833832,0.0016220988196210618,0,0,0,0,hold,False,0,0,-0.007004252928126313,0,-0.015444420481110555,9821.611838625357,-153.69836695484992,10.0,0.0,1.064673370040689,9821.611838625357,9990.0,10000
55,9288.88,9288.88,9392.55200833832,0.0015222373928449112,0,0,0,0,hold,False,0,0,0.006924661246612331,0,-0.008519759234498225,9889.623173503554,-85.51606361404629,10.0,0.0,1.064673370040689,9889.623173503554,9990.0,10000
56,9241.21,9241.21,9392.55200833832,0.0017228753552868089,0,0,0,0,hold,False,0,0,-0.005131942709993003,0,-0.013651701944491227,9838.870193953715,-136.39662717472493,10.0,0.0,1.064673370040689,9838.870193953715,9990.0,10000
57,9282.1,9282.1,9392.55200833832,0.0012585887330916097,0,0,0,0,hold,False,0,0,0.004424745244399874,0,-0.009226956700091353,9882.40468805468,-92.75269505816868,10.0,0.0,1.064673370040689,9882.40468805468,9990.0,10000
58,9290.1,9290.1,9392.55200833832,0.0018489366894143646,0,0,0,0,hold,False,0,0,0.0008618739293910169,0,-0.008365082770700336,9890.922075015005,-84.21389689401076,10.0,0.0,1.064673370040689,9890.922075015005,9990.0,10000
59,9230.89,9230.89,9392.55200833832,0.0019619232756831442,0,0,0,0,hold,False,0,0,-0.006373451308382158,0,-0.014738534079082495,9827.882764774895,-147.41167680648869,10.0,0.0,1.064673370040689,9827.882764774895,9990.0,10000
60,9089.0,9089.0,9392.55200833832,0.0012261129472500162,0,0,0,0,hold,False,0,0,-0.015371215559929732,0,-0.030109749639012227,9676.816260299822,-298.8579357455437,10.0,0.0,1.064673370040689,9676.816260299822,9990.0,10000
61,8970.0,8970.0,9392.55200833832,0.0018337232510975583,0,0,0,0,hold,False,0,0,-0.013092749477390205,0,-0.043202499116402435,9550.12012926498,-425.87255843739877,10.0,0.0,1.064673370040689,9550.12012926498,9990.0,10000
62,8975.35,8975.35,9392.55200833832,0.0011434231439204543,0,0,0,0,hold,False,0,0,0.0005964325529542819,0,-0.042606066563448154,9555.816131794698,-420.1622371651174,10.0,0.0,1.064673370040689,9555.816131794698,9990.0,10000
63,9031.0,9031.0,9392.55200833832,0.0014065866458357966,0,0,0,0,hold,False,0,0,0.0062003153080380366,0,-0.03640575125541012,9615.065204837461,-360.7642224356914,10.0,0.0,1.064673370040689,9615.065204837461,9990.0,10000
64,8915.35,8915.35,9392.55200833832,0.0014949275229511965,0,0,0,0,hold,False,0,0,-0.012805890820507069,0,-0.04921164207591719,9491.935729592256,-484.2032233963055,10.0,0.0,1.064673370040689,9491.935729592256,9990.0,10000
