#{"t_start": 1650871024.2151372, "env_id": null}
r,l,t
-187892804.363994,19968,230.493175
-158395107.778319,16974,500.234046
-189293326.961531,20086,783.657738
-41612170.750839,6221,872.388232
-92742947.330516,11409,1034.663241
-217449966.94592,24964,1414.757562
-6304329.022588,10918,1635.50444
-117896143.473956,20044,1914.072302
-29241131.963651,28951,2410.24755
-107294844.300288,15341,2607.985572
-53808182.007526,12946,2819.738056
-3748731.190529,17386,3088.804895
2269365.132837,1285,3093.999702
-168556200.498242,22531,3415.07478
-36598737.73966,25530,3830.436981
-16821862.517853,4997,3887.037115
-91437985.422793,15391,4153.219089
15891828.014846,5719,4280.79305
-82099542.8291,12267,4472.613138
-13095370.180024,8547,4632.889661
2289233.317776,7892,4712.703638
34537826.265504,6340,4863.616994
-70825774.686789,19439,5159.476038
-109566374.892479,19814,5450.053027
-39287119.002278,8815,5589.48344
-165509772.250861,24219,6002.939244
-6886779.426546,6205,6077.039949
-370290.952023,745,6079.873948
-77457713.932067,13673,6287.404867
15431745.222953,12826,6491.046536
-30885331.945973,9644,6631.413998
-4224198.725296,3861,6647.036769
-4868837.752701,2291,6714.106402
11639567.957823,8764,6858.673458
-12970274.819288,3430,6873.515024
-24124159.703167,10093,7015.332312
19911017.542577,9620,7145.088309
-16424614.914273,9146,7306.176635
-63409696.209319,15024,7532.853118
-31429819.530173,8979,7708.300513
-811802.481813,5682,7761.799347
41290972.474642,10761,7906.962
-119617780.858853,19057,8234.657166
-210220643.579393,25753,8636.377987
-44633491.200771,18949,8972.31631
-40247568.956196,26706,9407.534091
8803550.857533,1812,9463.399699
-152540544.039733,20891,9780.981473
-32433795.768114,12265,9926.901483
-15440638.004182,5473,10021.097685
-6245433.581844,1932,10073.537745
-42902102.185019,13109,10203.329102
-130088028.215229,19267,10528.546386
-40213276.50103,11834,10762.22512
-28788980.987775,9955,10920.374492
1273881.202849,1146,10924.863172
-19884697.46883,4567,10999.879905
-132632439.392387,21995,11316.565536
19217704.589576,9111,11466.813993
-33043483.822089,9415,11618.336179
7108912.395876,11257,11759.160455
-104279357.451975,17219,12030.328622
-139488012.039617,22571,12387.012966
-138470109.54128,17816,12679.733321
-79482553.713914,18378,12908.10729
21801445.117161,23339,13284.585155
-121731531.518968,28972,13763.391321
-1001150.193383,997,13767.862196
10079972.353555,12964,13992.598816
-130816658.54118,28804,14382.269392
-70986407.704968,26927,14845.798968
-18068268.82753,7448,14904.422362
-8010224.589935,4324,14963.595205
-41722733.288286,11692,15102.669977
-60639732.709325,13480,15308.366727
